Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 13, 2019",2880.72,2943.31,2877.05,2926.32,2926.32,3853600000
"Aug 12, 2019",2907.07,2907.58,2873.14,2882.7,2882.7,2851630000
"Aug 09, 2019",2930.51,2935.75,2900.15,2918.65,2918.65,3350640000
"Aug 08, 2019",2896.21,2938.72,2894.47,2938.09,2938.09,4106370000
"Aug 07, 2019",2858.65,2892.17,2825.71,2883.98,2883.98,4491750000
"Aug 06, 2019",2861.18,2884.4,2847.42,2881.77,2881.77,4154240000
"Aug 05, 2019",2898.07,2898.07,2822.12,2844.74,2844.74,4513730000
"Aug 02, 2019",2943.9,2945.5,2914.11,2932.05,2932.05,3874660000
"Aug 01, 2019",2980.32,3013.59,2945.23,2953.56,2953.56,4762300000
"Jul 31, 2019",3016.22,3017.4,2958.08,2980.38,2980.38,4623430000
"Jul 30, 2019",3007.66,3017.19,3000.94,3013.18,3013.18,3634330000
"Jul 29, 2019",3024.47,3025.61,3014.3,3020.97,3020.97,3203710000
"Jul 26, 2019",3013.25,3027.98,3012.59,3025.86,3025.86,3257590000
"Jul 25, 2019",3016.26,3016.31,2997.24,3003.67,3003.67,3645270000
"Jul 24, 2019",2998.77,3019.59,2996.82,3019.56,3019.56,3428980000
"Jul 23, 2019",2994.74,3005.9,2988.56,3005.47,3005.47,3313660000
"Jul 22, 2019",2981.93,2990.71,2976.65,2985.03,2985.03,3003720000
"Jul 19, 2019",3004.26,3006.02,2975.86,2976.61,2976.61,3260360000
"Jul 18, 2019",2978.87,2998.28,2973.09,2995.11,2995.11,3296580000
"Jul 17, 2019",3005.1,3005.26,2984.25,2984.42,2984.42,3181600000
"Jul 16, 2019",3012.13,3015.02,3001.15,3004.04,3004.04,3290650000
"Jul 15, 2019",3017.8,3017.8,3008.77,3014.3,3014.3,2874970000
"Jul 12, 2019",3003.36,3013.92,3001.87,3013.77,3013.77,2974960000
"Jul 11, 2019",2999.62,3002.33,2988.8,2999.91,2999.91,3154620000
"Jul 10, 2019",2989.3,3002.98,2984.62,2993.07,2993.07,3154240000
"Jul 09, 2019",2965.52,2981.9,2963.44,2979.63,2979.63,3028210000
"Jul 08, 2019",2979.77,2980.76,2970.09,2975.95,2975.95,2904550000
"Jul 05, 2019",2984.25,2994.03,2967.97,2990.41,2990.41,2434210000
"Jul 03, 2019",2978.08,2995.84,2977.96,2995.82,2995.82,1963720000
"Jul 02, 2019",2964.66,2973.21,2955.92,2973.01,2973.01,3206840000
"Jul 01, 2019",2971.41,2977.93,2952.22,2964.33,2964.33,3513270000
"Jun 28, 2019",2932.94,2943.98,2929.05,2941.76,2941.76,5420700000
"Jun 27, 2019",2919.66,2929.3,2918.57,2924.92,2924.92,3122920000
"Jun 26, 2019",2926.07,2932.59,2912.99,2913.78,2913.78,3478130000
"Jun 25, 2019",2945.78,2946.52,2916.01,2917.38,2917.38,3578050000
"Jun 24, 2019",2951.42,2954.92,2944.05,2945.35,2945.35,3136250000
"Jun 21, 2019",2952.71,2964.15,2946.87,2950.46,2950.46,5000120000
"Jun 20, 2019",2949.6,2958.06,2931.5,2954.18,2954.18,3905940000
"Jun 19, 2019",2920.55,2931.74,2911.43,2926.46,2926.46,3287890000
"Jun 18, 2019",2906.71,2930.79,2905.44,2917.75,2917.75,3437620000
"Jun 17, 2019",2889.75,2897.27,2887.3,2889.67,2889.67,2810140000
"Jun 14, 2019",2886.82,2894.45,2879.62,2886.98,2886.98,2922330000
"Jun 13, 2019",2886.24,2895.24,2881.99,2891.64,2891.64,3069810000
"Jun 12, 2019",2882.73,2888.57,2874.68,2879.84,2879.84,3034130000
"Jun 11, 2019",2903.27,2910.61,2878.53,2885.72,2885.72,3548420000
"Jun 10, 2019",2885.83,2904.77,2885.51,2886.73,2886.73,3209210000
"Jun 07, 2019",2852.87,2884.97,2852.87,2873.34,2873.34,3220250000
"Jun 06, 2019",2828.51,2852.1,2822.45,2843.49,2843.49,3396410000
"Jun 05, 2019",2818.09,2827.28,2800.92,2826.15,2826.15,3548830000
"Jun 04, 2019",2762.64,2804.49,2762.64,2803.27,2803.27,3810430000
"Jun 03, 2019",2751.53,2763.07,2728.81,2744.45,2744.45,3966700000
"May 31, 2019",2766.15,2768.98,2750.52,2752.06,2752.06,3981020000
"May 30, 2019",2786.94,2799,2776.74,2788.86,2788.86,3273790000
"May 29, 2019",2790.25,2792.03,2766.06,2783.02,2783.02,3700050000
"May 28, 2019",2830.03,2840.51,2801.58,2802.39,2802.39,4121410000
"May 24, 2019",2832.41,2841.36,2820.19,2826.06,2826.06,2887390000
"May 23, 2019",2836.7,2836.7,2805.49,2822.24,2822.24,3891980000
"May 22, 2019",2856.06,2865.47,2851.11,2856.27,2856.27,3192510000
"May 21, 2019",2854.02,2868.88,2854.02,2864.36,2864.36,3218700000
"May 20, 2019",2841.94,2853.86,2831.29,2840.23,2840.23,3288870000
"May 17, 2019",2858.6,2885.48,2854.23,2859.53,2859.53,3257950000
"May 16, 2019",2855.8,2892.15,2855.8,2876.32,2876.32,3338060000
"May 15, 2019",2820.38,2858.68,2815.08,2850.96,2850.96,3125950000
"May 14, 2019",2820.12,2852.54,2820.12,2834.41,2834.41,3322720000
"May 13, 2019",2840.19,2840.19,2801.43,2811.87,2811.87,3894030000
