Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 11, 2017",2441.04,2448.09,2437.85,2441.32,2441.32,3159930000
"Aug 10, 2017",2465.38,2465.38,2437.75,2438.21,2438.21,3621070000
"Aug 09, 2017",2465.35,2474.41,2462.08,2474.02,2474.02,3308060000
"Aug 08, 2017",2478.35,2490.87,2470.32,2474.92,2474.92,3344640000
"Aug 07, 2017",2477.14,2480.95,2475.88,2480.91,2480.91,2931780000
"Aug 04, 2017",2476.88,2480,2472.08,2476.83,2476.83,3235140000
"Aug 03, 2017",2476.03,2476.03,2468.85,2472.16,2472.16,3645020000
"Aug 02, 2017",2480.38,2480.38,2466.48,2477.57,2477.57,3478580000
"Aug 01, 2017",2477.1,2478.51,2471.14,2476.35,2476.35,3460860000
"Jul 31, 2017",2475.94,2477.96,2468.53,2470.3,2470.3,3469210000
"Jul 28, 2017",2469.12,2473.53,2464.66,2472.1,2472.1,3294770000
"Jul 27, 2017",2482.76,2484.04,2459.93,2475.42,2475.42,3995520000
"Jul 26, 2017",2479.97,2481.69,2474.94,2477.83,2477.83,3557020000
"Jul 25, 2017",2477.88,2481.24,2474.91,2477.13,2477.13,4108060000
"Jul 24, 2017",2472.04,2473.1,2466.32,2469.91,2469.91,3010240000
"Jul 21, 2017",2467.4,2472.54,2465.06,2472.54,2472.54,3059570000
"Jul 20, 2017",2475.56,2477.62,2468.43,2473.45,2473.45,3182780000
"Jul 19, 2017",2463.85,2473.83,2463.85,2473.83,2473.83,3059760000
"Jul 18, 2017",2455.88,2460.92,2450.34,2460.61,2460.61,2962130000
"Jul 17, 2017",2459.5,2462.82,2457.16,2459.14,2459.14,2793170000
"Jul 14, 2017",2449.16,2463.54,2446.69,2459.27,2459.27,2736640000
"Jul 13, 2017",2444.99,2449.32,2441.69,2447.83,2447.83,3067670000
"Jul 12, 2017",2435.75,2445.76,2435.75,2443.25,2443.25,3171620000
"Jul 11, 2017",2427.35,2429.3,2412.79,2425.53,2425.53,3106750000
"Jul 10, 2017",2424.51,2432,2422.27,2427.43,2427.43,2999130000
"Jul 07, 2017",2413.52,2426.92,2413.52,2425.18,2425.18,2901330000
"Jul 06, 2017",2423.44,2424.28,2407.7,2409.75,2409.75,3364520000
"Jul 05, 2017",2430.78,2434.9,2422.05,2432.54,2432.54,3367220000
"Jul 03, 2017",2431.39,2439.17,2428.69,2429.01,2429.01,1962290000
"Jun 30, 2017",2429.2,2432.71,2421.65,2423.41,2423.41,3361590000
"Jun 29, 2017",2442.38,2442.73,2405.7,2419.7,2419.7,3900280000
"Jun 28, 2017",2428.7,2442.97,2428.02,2440.69,2440.69,3500800000
"Jun 27, 2017",2436.34,2440.15,2419.38,2419.38,2419.38,3563910000
"Jun 26, 2017",2443.32,2450.42,2437.03,2439.07,2439.07,3238970000
"Jun 23, 2017",2434.65,2441.4,2431.11,2438.3,2438.3,5278330000
"Jun 22, 2017",2437.4,2441.62,2433.27,2434.5,2434.5,3468210000
"Jun 21, 2017",2439.31,2442.23,2430.74,2435.61,2435.61,3594820000
"Jun 20, 2017",2450.66,2450.66,2436.6,2437.03,2437.03,3416510000
"Jun 19, 2017",2442.55,2453.82,2441.79,2453.46,2453.46,3264700000
"Jun 16, 2017",2431.24,2433.15,2422.88,2433.15,2433.15,5284720000
